CountryISO,CountryName,Admin1ISO,Admin1Name,Admin2Name,CityName
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW HAVEN COUNTY,NAUGATUCK
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW HAVEN COUNTY,NEW HAVEN
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW HAVEN COUNTY,ORANGE
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW HAVEN COUNTY,WALLINGFORD
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW HAVEN COUNTY,WATERBURY
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW LONDON COUNTY,NEW LONDON
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW LONDON COUNTY,NORWICH
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW LONDON COUNTY,STONINGTON
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,WINDHAM COUNTY,PUTNAM
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,WINDHAM COUNTY,WILLIMANTIC
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,WINDHAM COUNTY,WINDHAM
US,UNITED STATES OF AMERICA,US-DC,DISTRICT OF COLUMBIA,WASHINGTON COUNTY,WASHINGTON
US,UNITED STATES OF AMERICA,US-DE,DELAWARE,NEW CASTLE COUNTY,WILMINGTON
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,DUVAL COUNTY,DUVAL
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,DUVAL COUNTY,JACKSONVILLE
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,DUVAL COUNTY,MANDARIN
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,ESCAMBIA COUNTY,PENSACOLA
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,HILLSBOROUGH COUNTY,TAMPA
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,HILLSBOROUGH COUNTY,WEST TAMPA
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,JACKSON COUNTY,MARIANNA
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,MIAMI-DADE,MIAMI
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,MONROE COUNTY,KEY WEST
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,PINELLAS COUNTY,ST. PETERSBURG
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,PINELLAS COUNTY,TARPON SPRINGS
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,SARASOTA COUNTY,SARASOTA
US,UNITED STATES OF AMERICA,US-FL,FLORIDA,WALTON COUNTY,DEFUNIAK SPRINGS
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,BIBB COUNTY,MACON
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,CHATHAM COUNTY,SAVANNAH
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,CLARKE COUNTY,ATHENS
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,DOUGHERTY COUNTY,ALBANY
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,FLOYD COUNTY,ROME
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,FULTON COUNTY,ATLANTA
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,FULTON COUNTY,BIRMINGHAM
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,GLYNN COUNTY,BRUNSWICK
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,LOWNDES COUNTY,VALDOSTA
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,MUSCOGEE COUNTY,COLUMBUS
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,RICHMOND COUNTY,AUGUSTA
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,TROUP COUNTY,LA GRANGE
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,WARE COUNTY,WAYCROSS
US,UNITED STATES OF AMERICA,US-GA,GEORGIA,WHITE COUNTY,CLEVELAND
US,UNITED STATES OF AMERICA,US-HI,HAWAII,HAWAII COUNTY,HILO
US,UNITED STATES OF AMERICA,US-HI,HAWAII,HONOLULU COUNTY,HONOLULU
US,UNITED STATES OF AMERICA,US-IA,IOWA,BLACK HAWK COUNTY,WATERLOO
US,UNITED STATES OF AMERICA,US-IA,IOWA,BOONE COUNTY,BOONE
US,UNITED STATES OF AMERICA,US-IA,IOWA,CERRO GORDO COUNTY,MASON CITY
US,UNITED STATES OF AMERICA,US-IA,IOWA,CLINTON COUNTY,CLINTON
US,UNITED STATES OF AMERICA,US-IA,IOWA,DES MOINES COUNTY,BURLINGTON
US,UNITED STATES OF AMERICA,US-IA,IOWA,DUBUQUE COUNTY,DUBUQUE
US,UNITED STATES OF AMERICA,US-IA,IOWA,JOHNSON COUNTY,IOWA CITY
US,UNITED STATES OF AMERICA,US-IA,IOWA,LEE COUNTY,KEOKUK
US,UNITED STATES OF AMERICA,US-IA,IOWA,LINN COUNTY,CEDAR RAPIDS
US,UNITED STATES OF AMERICA,US-IA,IOWA,MARSHALL COUNTY,MARSHALLTOWN
